"NUMANO";"TXTMUNICIPIO";"QTDESCOLAS";"QTDPARTICIPATNES";"MEDIA_CIENCIAS_HUMANAS";"MEDIA_CIENCIAS_DA_NATUREZA";"MEDIA_LINGUAGENS_E_CODIGOS";"MEDIA_MATEMATICA";"MEDIA_REDACAO";"MEDIA_NOTA_GERAL";"MEDIANA_CIENCIAS_HUMANAS";"MEDIANA_CIENCIAS_DA_NATUREZA";"MEDIANA_LINGUAGENS_E_CODIGOS";"MEDIANA_MATEMATICA";"MEDIANA_REDACAO";"MEDIANA_NOTA_GERAL"
2014;"Bauru";12;939;562,12;493,32;528,28;489,87;512,48;517,21;546,85;472,9;517,25;463,85;505,15;501,2
2014;"Cotia";9;736;552,56;482,69;521,07;472,54;510,9;507,95;545,6;471;514,7;459,2;500;498,1
2014;"Osasco";14;1450;543,74;475,92;518,1;468,59;494,59;500,19;534,55;468,1;514,4;460,5;482,55;492,02
2014;"Santos";9;939;555,86;484,26;526,74;481,46;514,56;512,57;543,6;473,1;518,6;467,1;499,1;500,3
2014;"Barueri";11;2005;566,54;500,04;536,49;508,15;539,1;530,06;565,3;490,4;533,6;505,7;535,7;526,14
2014;"Diadema";7;918;545,66;476,81;522,56;470,79;483,69;499,9;539,1;471;515,7;458,2;459,4;488,68
2014;"Itapeva";4;346;531,33;474,28;509,53;483,53;452,58;490,25;524,4;465,45;500,8;468,6;451,05;482,06
2014;"Campinas";35;2834;550,89;483,21;521,06;483,61;507,24;509,2;548,3;477,4;517,6;474,7;503,8;504,36
2014;"Registro";3;135;550,97;483,57;528,7;495,77;495,9;510,98;522,9;470;516,2;457,2;466,8;486,62
2014;"Sorocaba";31;2769;548,88;479,25;521,16;477;505,34;506,33;545,8;473,2;521,9;471,9;498,2;502,2
2014;"Guarulhos";23;2137;539,17;470,33;511,92;461,69;489,2;494,46;543,4;471,7;516,8;465,7;493,2;498,16
2014;"Juquitiba";4;121;516,9;464,25;486,35;445,73;425,23;467,69;515,35;470,2;487,5;443,1;420;467,23
2014;"São Paulo";168;19232;563,42;493,08;534,55;491,41;526,4;521,77;551,6;481,25;525,35;472,45;508,6;507,85
2014;"Embu-Guaçu";2;83;527,8;472,65;502,65;457,8;487,55;489,69;527,8;472,65;502,65;457,8;487,55;489,69
2014;"Taboão da Serra";11;894;544,03;472,8;513,72;458,66;495,41;496,92;542,3;474,6;511,6;457,8;495,5;496,36
2014;"São Caetano do Sul";12;1222;555,31;490,03;530,58;494,08;517,73;517,55;548,95;479;523,45;475,2;517;508,72
2014;"Itapecerica da Serra";5;327;549,78;479,76;514,22;468,32;486,2;499,66;547,8;477,2;511,2;468,8;485,3;498,06
2014;"São José dos Campos";20;2011;554,72;487,25;522,68;493,69;510,26;513,72;549,65;484,4;518,8;488,8;498,9;508,11
2014;"São Bernardo do Campo";31;2867;548,85;480,63;525,91;481,11;508,23;508,95;548,5;479,1;524,9;482,4;508,3;508,64
2014;"São Lourenço da Serra";2;117;537,35;472,2;505,05;461,75;483,8;492,03;537,35;472,2;505,05;461,75;483,8;492,03
2015;"Bauru";11;740;567,66;493,67;522,55;492,05;535,1;522,21;552,6;478,6;513,2;466;519,7;506,02
2015;"Cotia";9;596;553,54;472,31;516,94;465,62;526,79;507,04;541,8;463;511;448,7;517,8;496,46
2015;"Osasco";14;1343;548,31;467,61;511,16;457,46;528,89;502,69;539,6;460;506,1;448,9;514;493,72
2015;"Santos";11;1006;556,53;478,09;521,98;470,25;538,05;512,98;555,1;468,9;518,9;461,3;535;507,84
2015;"Barueri";7;529;570,84;489,1;534,67;494,41;571,96;532,2;540,3;466,1;517,8;466,6;556,7;509,5
2015;"Diadema";10;1180;550,95;466,65;507,19;464,12;517,11;501,2;543,15;457,95;497,45;452,95;507,35;491,77
2015;"Itapeva";5;333;552,22;473,34;502,86;475,78;513,94;503,63;538,4;462,8;495,3;454,2;498,4;489,82
2015;"Itapevi";2;125;535,55;449,25;490,35;442,9;506,95;485;535,55;449,25;490,35;442,9;506,95;485
2015;"Campinas";33;2552;555,36;478,68;513,01;471,31;528,31;509,33;549,5;473,2;509,5;460,7;528,2;504,22
2015;"Registro";5;220;553,14;468,5;501,5;480,5;521;504,93;537,5;455,7;480,9;454,1;492,3;484,1
